,name,address,borough,cuisine,phone,critical_flag,latitude,longitude,qualify_alcohol,seating_interest
60672,en japanese brasserie,"435 hudson street, manhattan, ny",manhattan,japanese,2126479196,critical,40.730579720691,-74.006804915021,yes,both
60790,island trini burger,"2093 nostrand avenue, brooklyn, ny",brooklyn,caribbean,3477899955,not critical,40.634586019924996,-73.947826254263,no,sidewalk
61012,j & b yummy pizza,"5507 5 avenue, brooklyn, ny",brooklyn,pizza,7184391105,critical,40.64218644826,-74.013335895417,no,sidewalk
61219,new kam lai,"890 amsterdam avenue, manhattan, ny",manhattan,chinese,2127498388,critical,40.798840002759,-73.966883088926,no,both
61434,motorino pizzeria,"139 broadway, brooklyn, ny",brooklyn,pizza,7185998899,critical,40.710389127269,-73.963605134382,yes,both
61475,jules bistro,"65 st marks place, manhattan, ny",manhattan,french,2124775560,critical,40.728018237736,-73.986296887556,yes,sidewalk
61636,m&j navy yard sub shoppe,"2 adelphi street, brooklyn, ny",brooklyn,sandwiches,7185225150,critical,40.697655929713,-73.97275776996,yes,roadway
61837,vybes kitchen,"3670 white plains road, bronx, ny",bronx,caribbean,3479451135,not critical,40.880840580863,-73.864334212405,no,both
61951,epistrophy cafe,"200 mott street, manhattan, ny",manhattan,italian,2129660904,critical,40.721310761339005,-73.995573454398,yes,roadway
62104,city tech bookstore & cafe,"259 adams street, brooklyn, ny",brooklyn,coffee/tea,7188557339,critical,40.695591805567005,-73.988799081856,no,roadway
62335,lucky zhang's family,"5622 8 avenue, brooklyn, ny",brooklyn,chinese,7184393366,critical,40.637581242177,-74.007393504866,yes,roadway
62589,mill korean restaurant,"2895 broadway, manhattan, ny",manhattan,korean,2126667653,not critical,40.805942977365,-73.965416591482,no,both
62816,nino's restaurant,"1354 1 avenue, manhattan, ny",manhattan,italian,2129880002,not critical,40.768133443853,-73.955743012925,yes,both
62827,new crown chicken & biscuit,"507 pennsylvania avenue, brooklyn, ny",brooklyn,chicken,7185667469,not critical,40.665016031816,-73.894101600133,no,both
63030,pret a manger,"106 west   32 street, manhattan, ny",manhattan,soups/salads/sandwiches,2129676760,critical,40.748727795522,-73.989270124643,no,sidewalk
63193,manna house bakery,"87 east broadway, manhattan, ny",manhattan,bakery products/desserts,2122676200,critical,40.713743353144004,-73.993791999392,no,roadway
63418,tajin restaurant,"85 greenwich street, manhattan, ny",manhattan,mexican,2125095017,not critical,40.707717935637,-74.013684495755,yes,roadway
63682,le fanfare,"1103 manhattan avenue, brooklyn, ny",brooklyn,italian,6462343293,not critical,40.736236393581,-73.955262709409,yes,sidewalk
63733,liberty tavern,"382 forest avenue, staten island, ny",staten island,american,7184428121,critical,40.630981415993,-74.10211897576801,yes,both
63874,el mariachi restaurnt,"6712 roosevelt ave, queens, ny",queens,mexican,7183356744,critical,40.746152197904,-73.89789869112799,yes,both
64026,forest hills coffee shop,"9607 metropolitan ave, queens, ny",queens,coffee/tea,716_350422,critical,40.711317702072,-73.85631215464501,yes,both
64166,"upstairs lounge the kimberly hotel, bistango","145 east   50 street, manhattan, ny",manhattan,american,2127021667,critical,40.756259197168,-73.971791626399,yes,roadway
64337,golden krust caribbean bakery & grill,"872 utica avenue, brooklyn, ny",brooklyn,caribbean,7182825027,critical,40.652110445656,-73.930434678531,no,sidewalk
64587,golden z restaurant,"1410 avenue u, brooklyn, ny",brooklyn,chinese,7183824328,critical,40.598737494281,-73.957123268175,no,both
64789,mofongo el mocano restaurant and lounge,"985 morris avenue, bronx, ny",bronx,latin american,7185885103,not critical,40.828499097923,-73.91685448812899,yes,both
64950,pino's la forchetta,"181 7 avenue, brooklyn, ny",brooklyn,pizza,7189654020,not critical,40.671373060868,-73.977826228635,no,both
65147,crown fried chicken,"127 wyckoff avenue, brooklyn, ny",brooklyn,chicken,7183818400,not critical,40.704174094486,-73.919004648328,no,both
65272,shaking crab,"2869 broadway, manhattan, ny",manhattan,seafood,6172564211,critical,40.805114242977,-73.966016645031,yes,both
65273,starbucks,"5100 kings plz, brooklyn, ny",brooklyn,coffee/tea,9292712767,not critical,40.609928854538005,-73.922281617072,no,roadway
65468,lebron restaurant,"1567a pitkin avenue, brooklyn, ny",brooklyn,spanish,7183429070,critical,40.668950743628,-73.915684331159,yes,sidewalk
65706,arturo's pizza,"5189a broadway, bronx, ny",bronx,pizza,7185623820,not critical,40.874377748671996,-73.91012184383099,no,sidewalk
65941,tir na nog,"254 west   31 street, manhattan, ny",manhattan,irish,2126300249,not critical,40.749727207972995,-73.99353238271699,yes,both
65942,tavola della nonna,"208 west   70 street, manhattan, ny",manhattan,steakhouse,2128758600,not critical,40.777533297211,-73.983181478857,yes,both
66145,il cortile restaurant,"123 mulberry street, manhattan, ny",manhattan,italian,2122266060,critical,40.717890850638,-73.99810609883001,yes,both
66147,bonao chimi restaurant,"7614 jamaica avenue, queens, ny",queens,spanish,3478293089,not critical,40.691588308888,-73.86539870082301,no,sidewalk
66378,el monumento restaurant bar & lounge,"1185 broadway, brooklyn, ny",brooklyn,latin american,7184503380,not critical,40.692514400408,-73.927348851405,yes,both
66379,lan ting hot pot bbq,"705 59 street, brooklyn, ny",brooklyn,chinese,6466626014,critical,40.637166513778,-74.010755104467,yes,both
66380,ralph's famous italian ices,"3285 richmond avenue, staten island, ny",staten island,frozen desserts,7189671212,critical,40.558870072234,-74.16940694858499,no,sidewalk
66597,bagelette,"97-42 63 road, queens, ny",queens,bagels/pretzels,7184590204,not critical,40.731285135507,-73.860126059499,no,sidewalk
66839,angelica pizzeria,"30 nevins street, brooklyn, ny",brooklyn,pizza,7188522728,not critical,40.687850595312,-73.98147340288901,yes,both
67090,chen king wok,"14616 jamaica ave, queens, ny",queens,chinese,7187395888,critical,40.701786824911,-73.80864680408001,no,sidewalk
67292,5 star village cafe,"1968 coney island avenue, brooklyn, ny",brooklyn,russian,7189753373,critical,40.609180462632,-73.962234315309,no,roadway
67536,619 bar & restaurant el salvadoreno,"395 east  151 street, bronx, ny",bronx,latin american,6466378179,not critical,40.817613913943,-73.917500390725,yes,both
67731,the johnson's,"369 troutman street, brooklyn, ny",brooklyn,american,7184177100,critical,40.705791201518004,-73.923640988542,yes,roadway
67732,nucci's south,"4842 arthur kill road, staten island, ny",staten island,italian,7189673600,critical,40.524009965821,-74.239203152889,no,sidewalk
67869,audrey bakery & cafe,"174 canal street, manhattan, ny",manhattan,bakery products/desserts,6467999177,critical,40.716674904746,-73.997409912121,yes,both
68102,a fei chinese restaurant,"553 throop avenue, brooklyn, ny",brooklyn,chinese,7184535205,not critical,40.683159795521,-73.940966411926,yes,both
68308,bagels 'n more,"4305 14 avenue, brooklyn, ny",brooklyn,bagels/pretzels,7188534450,not critical,40.636943897438,-73.986513828722,no,both
68527,bagel bistro & diner,"1810 victory boulevard, staten island, ny",staten island,american,7187206919,critical,40.612998288941,-74.123669405912,no,roadway
68740,pasquale's rigoletto restaurant,"2311 arthur avenue, bronx, ny",bronx,italian,7183656644,critical,40.853812315447,-73.889078876356,yes,both
68743,ruddy and dean,"44 richmond terrace, staten island, ny",staten island,american,7188164400,critical,40.643923852641,-74.07646810838,no,sidewalk
68967,golden chicken,"17944 hillside avenue, queens, ny",queens,chicken,7182064669,critical,40.712767409212,-73.78325320107,no,both
69174,kulushkat gourmet falafel,"446 dean street, brooklyn, ny",brooklyn,mediterranean,3477991972,critical,40.681975816298,-73.976257910942,yes,sidewalk
69311,sky55 bar and grill,"55 water street, manhattan, ny",manhattan,american,6465906556,not critical,40.703590200178,-74.00978124554901,no,roadway
69558,insomnia cookies,"17 west  125 street, manhattan, ny",manhattan,bakery products/desserts,2674188629,critical,40.806691545191,-73.942911804528,yes,both
69771,klassique,"3813 boston road, bronx, ny",bronx,caribbean,7186543222,critical,40.881462794099,-73.838222922634,yes,both
69772,the juice box,"114 dekalb avenue, brooklyn, ny",brooklyn,"juice, smoothies, fruit salads",7186436400,critical,40.689798797013005,-73.978137397189,no,sidewalk
69950,homemade taqueria,"24773 jericho tpke, queens, ny",queens,mexican,3478948860,not critical,40.725822365554,-73.71909500281801,yes,sidewalk
70165,y j fried fish,"8901 165 street, queens, ny",queens,seafood,7185261202,critical,40.707381003129,-73.79609320663499,no,both
70391,sik gaek,"4911 roosevelt ave, queens, ny",queens,korean,7182054555,not critical,40.743207748804004,-73.915626081691,yes,sidewalk
70392,la luna cafe,"44-01 30 avenue, queens, ny",queens,sandwiches,7186060094,critical,40.762333015514,-73.911670635234,no,both
70393,fuel fever,"8615 18 avenue, brooklyn, ny",brooklyn,american,7182598448,not critical,40.606804174769,-74.003100809811,no,both
70517,angelo's pizzeria,"117 west   57 street, manhattan, ny",manhattan,pizza,2123334333,critical,40.764626562701004,-73.977914191497,no,both
70518,mcdonald's,"000 american air,jfk airport terminal 8, queens, ny",queens,hamburgers,6465334694,critical,40.648312826068,-73.788281497594,no,sidewalk
70742,chris caribbean & american restaurant,"576 rogers avenue, brooklyn, ny",brooklyn,caribbean,7185766005,not critical,40.657779015353,-73.953243130896,no,both
70953,pizza king,"3916 18 avenue, brooklyn, ny",brooklyn,jewish/kosher,7188715464,critical,40.632791362339,-73.972849201261,yes,both
71165,deng ji ll,"51 division street, manhattan, ny",manhattan,chinese,9174751082,critical,40.714166118215,-73.99527453075301,yes,both
71371,candelas restaurant,"4413 4 avenue, brooklyn, ny",brooklyn,spanish,7184381994,not critical,40.649680105609,-74.009214733666,yes,both
71537,china star,"1370 pennsylvania avenue, brooklyn, ny",brooklyn,chinese,7186421755,critical,40.647950768234,-73.881890837147,no,sidewalk
71768,energy fuel cafe,"606a 5 avenue, brooklyn, ny",brooklyn,american,7184996999,not critical,40.663782791875,-73.990920281379,no,both
71769,dagan pizza,"6187 strickland avenue, brooklyn, ny",brooklyn,pizza,7182090636,not critical,40.613198810025004,-73.912156869306,no,sidewalk
71987,gina mexicana,"145 east   61 street, manhattan, ny",manhattan,tex-mex,2125273700,not critical,40.763347617078,-73.966951343261,yes,both
72212,midtown manhattan embassy suites,"60 west   37 street, manhattan, ny",manhattan,american,2129120111,not critical,40.751107027787,-73.985025277804,yes,both
72413,andy's deli,"291 broadway, manhattan, ny",manhattan,american,2122274111,not critical,40.714816580157,-74.005778836563,no,sidewalk
72625,dunkin,"1248 lexington avenue, manhattan, ny",manhattan,donuts,9179024851,not critical,40.77827285406,-73.95648366598,yes,roadway
72675,sagwa namoo,"162-07 depot road, queens, ny",queens,korean,7183210085,critical,40.762031454043004,-73.80356006522,yes,both
72879,bella mama rose,"264 morningstar road, staten island, ny",staten island,italian,7189810545,not critical,40.631663035101,-74.146754560584,no,sidewalk
73084,blue bottle coffee,"76 north    4 street, brooklyn, ny",brooklyn,coffee/tea,4156864471,not critical,40.717714399793,-73.962013853437,no,sidewalk
73085,china pagoda,"6918 5 avenue, brooklyn, ny",brooklyn,chinese,7182386184,not critical,40.633275718916,-74.021098226489,no,sidewalk
73293,black press coffee,"274 columbus avenue, manhattan, ny",manhattan,coffee/tea,9172615962,critical,40.777886580684,-73.97845499129599,no,sidewalk
73434,el nuevo yauco restaurant,"465a bushwick avenue, brooklyn, ny",brooklyn,latin american,7183865913,critical,40.70164640316,-73.93686015181999,yes,both
73667,secrets,"24511 francis lewis blvd, queens, ny",queens,american,7185250333,critical,40.664791285643,-73.734910318699,yes,roadway
73668,lupita restaurant,"2049 2 avenue, manhattan, ny",manhattan,mexican,6465904202,not critical,40.790168087112995,-73.942774350469,yes,sidewalk
73834,kennedy fried chicken,"1774 lexington avenue, manhattan, ny",manhattan,chicken,2129965719,critical,40.795010560816,-73.94426538522801,yes,sidewalk
74059,baby grand,"161 lafayette street, manhattan, ny",manhattan,american,2122198110,not critical,40.719858862064,-73.999209949237,yes,both
74097,caribbean connection catering services inc restaurant,"3969 laconia avenue, bronx, ny",bronx,caribbean,7186555155,not critical,40.884088192353,-73.849384228871,yes,sidewalk
74323,sophies cuban cuisine,"401 east   68 street, manhattan, ny",manhattan,latin american,2124391814,critical,40.765101160373,-73.95752476475799,no,sidewalk
74569,the oval sports bar & lounge,"4201 church avenue, brooklyn, ny",brooklyn,caribbean,3475334673,not critical,40.651384644455,-73.937938595443,yes,both
74738,kew gardens chicken,"8045 kew gardens rd, queens, ny",queens,chicken,7182682508,not critical,40.713348685054,-73.830105132394,yes,sidewalk
74977,mr. bing of 28th street,"152 west   28 street, manhattan, ny",manhattan,chinese,2124639209,not critical,40.746650234094,-73.992002469086,yes,both
75200,boston market,"1340 pennsylvania avenue, brooklyn, ny",brooklyn,chicken,3475494952,critical,40.648200828761,-73.882167873945,no,sidewalk
75433,international bake shop,"719 seneca avenue, queens, ny",queens,bakery products/desserts,7183869550,critical,40.702628220268004,-73.907378844068,no,both
75640,lai wang ka mei restaurant,"4624 kissena blvd, queens, ny",queens,chinese,3477324199,critical,40.750077991775,-73.81855914690401,no,roadway
75864,pret a manger,"857 broadway, manhattan, ny",manhattan,soups/salads/sandwiches,6465728010,not critical,40.737227332858,-73.990307618042,no,sidewalk
75865,ciao for now,"521 east   12 street, manhattan, ny",manhattan,coffee/tea,2126772616,critical,40.728799680596,-73.980639345112,no,roadway
76082,happy garden,"1236-1238 spofford ave, bronx, ny",bronx,chinese,7186171818,critical,40.814030470854,-73.889517539867,yes,sidewalk
76293,bao tea house,"140 west    4 street, manhattan, ny",manhattan,coffee/tea,6468337870,critical,40.731373159252,-74.000313910224,no,both
76531,potato corner,"90-15 queens boulevard, queens, ny",queens,american,6466430589,not critical,40.733840182011,-73.871577033806,yes,both
76738,smith's hell's kitchen bar & restaurant,"701 8 avenue, manhattan, ny",manhattan,american,2122472161,critical,40.758625353805996,-73.988784831621,yes,roadway
76739,island garden,"1364 bay street, staten island, ny",staten island,chinese,7184209333,not critical,40.610371348962005,-74.06340974530501,no,sidewalk
76851,padishah restaurant,"1920 avenue u, brooklyn, ny",brooklyn,middle eastern,7187439656,critical,40.599273545483,-73.952254373517,no,both
76857,kennedy fried chicken,"351 east  152 street, bronx, ny",bronx,chicken,3474317926,critical,40.818759413403,-73.918821294378,yes,both
77058,oleandr restaurant,"410 brighton beach avenue, brooklyn, ny",brooklyn,russian,7186485484,not critical,40.577242386369,-73.963073199241,yes,sidewalk
77059,wyndham garden fresh meadows hotel,"6127 186th st, queens, ny",queens,american,7186198818,not critical,40.739873141519,-73.78824203443001,yes,roadway
77264,15 east restaurant,"15 east   15 street, manhattan, ny",manhattan,japanese,2126479915,not critical,40.736491909166006,-73.992635170374,yes,both
77265,seamore's,"161 8 avenue, manhattan, ny",manhattan,american,2125979222,not critical,40.742338489619,-74.000649576733,yes,roadway
77316,round 2 cafe,"1165 utica avenue, brooklyn, ny",brooklyn,caribbean,3474420825,not critical,40.643971621272,-73.929538738185,yes,both
77317,chang pai,"16612 hillside avenue, queens, ny",queens,chinese,7182918222,not critical,40.709568790389,-73.796205519005,no,both
77555,fazio's,"709 knickerbocker avenue, brooklyn, ny",brooklyn,pizza,3475293222,critical,40.694324985942,-73.910462865388,yes,roadway
77556,ghetto shack,"9320 avenue l, brooklyn, ny",brooklyn,caribbean,3475875819,critical,40.63685818076,-73.898084575452,yes,sidewalk
77759,deutsche bank - main cafe,"60 wall street, manhattan, ny",manhattan,american,7043285173,critical,40.70590688061,-74.00860938335,no,both
77976,la caridad 78 restaurant,"2199 broadway, manhattan, ny",manhattan,latin american,2128742780,not critical,40.783052577852004,-73.980533234785,yes,sidewalk
78206,tru,"3519 ditmars blvd, queens, ny",queens,greek,6468786000,not critical,40.774720525495,-73.908697122378,yes,openstreets
78245,trattoria 35,"213-15 35 avenue, queens, ny",queens,italian,7183523800,critical,40.768883330714004,-73.77422844815099,yes,sidewalk
78246,cas' west indian & american restaurant,"135 kingston avenue, brooklyn, ny",brooklyn,caribbean,7188041075,critical,40.675241459913,-73.941636789244,no,both
78467,buttercup bake shop,"167 madison avenue, manhattan, ny",manhattan,bakery products/desserts,8442253369,not critical,40.746992422076,-73.983503202857,no,sidewalk
78592,bonnie vee,"17 stanton street, manhattan, ny",manhattan,american,9176393352,critical,40.722501800089,-73.992048670298,yes,both
78593,li's happy family,"8 new dorp lane, staten island, ny",staten island,chinese,7183511999,not critical,40.575670779709995,-74.119546737549,no,openstreets
78740,jamaican flavors,"16417 jamaica avenue, queens, ny",queens,caribbean,7185262228,not critical,40.705230755415,-73.79548305442701,yes,sidewalk
78965,boston market,"8302 atlantic avenue, queens, ny",queens,chicken,7186474700,critical,40.685508008748,-73.858059046736,yes,sidewalk
79178,uncle jimmy's pizza,"41-10 49 street, queens, ny",queens,pizza,7185079099,critical,40.745982460044,-73.915294138739,no,both
79327,el pollo inka peru,"8920 101st ave, queens, ny",queens,peruvian,6466512258,critical,40.682863900884,-73.850875262372,no,both
79482,da nico restaurant,"164 mulberry street, manhattan, ny",manhattan,italian,2123431212,critical,40.719823145948,-73.997092326151,yes,both
79483,c & m pizza,"2519 webster avenue, bronx, ny",bronx,pizza,7183677315,not critical,40.861313495558,-73.891774134364,yes,both
79730,mr. tang,"7521 3 avenue, brooklyn, ny",brooklyn,chinese,7187483131,not critical,40.631245877495,-74.02786711070401,no,both
79931,double dragon,"182 east  166 street, bronx, ny",bronx,chinese,7184102838,critical,40.831591096943,-73.918841714369,no,both
80140,hudson terrace,"621 west   46 street, manhattan, ny",manhattan,american,2123159400,critical,40.763615833452,-73.997014598693,yes,roadway
80366,t-bone diner,"10748 queens boulevard, queens, ny",queens,american,7182617744,not critical,40.721513106889,-73.84469154889,yes,openstreets
80590,west place,"1288 amsterdam avenue, manhattan, ny",manhattan,chinese,2129329390,critical,40.811569828638,-73.95759253257499,yes,both
80591,las margaritas restaurant,"7206 3 avenue, brooklyn, ny",brooklyn,mexican,7182383972,not critical,40.633378778174,-74.02701413054,yes,sidewalk
80592,just desserts,"7211 18 avenue, brooklyn, ny",brooklyn,frozen desserts,7186762227,critical,40.614991772167,-73.994341495918,no,roadway
80808,melt shop,"877 8 avenue, manhattan, ny",manhattan,american,2125055861,critical,40.763782325638,-73.9850260269,yes,sidewalk
80933,new peking,"344 classon avenue, brooklyn, ny",brooklyn,chinese,7182308881,critical,40.688764610588,-73.959993104492,no,both
81140,sam won gahk,"14420 northern boulevard, queens, ny",queens,korean,7184458500,critical,40.764689859162004,-73.823024445946,yes,both
81355,coco roco restaurant,"392 5 avenue, brooklyn, ny",brooklyn,peruvian,7189653376,critical,40.670737437043,-73.98500734314399,no,both
81582,wing gong restaurant,"2109 1 avenue, manhattan, ny",manhattan,chinese,2124101661,not critical,40.791132280719,-73.93897069793701,yes,both
81787,joe's of ave u,"287 avenue u, brooklyn, ny",brooklyn,italian,7184494285,critical,40.596941895616006,-73.973584008937,yes,both
81838,el paso taqueria,"1642 lexington avenue, manhattan, ny",manhattan,mexican,9174727289,critical,40.790656140357,-73.947443455957,no,sidewalk
81840,desi deli punjabi dhaba,"724 10 avenue, manhattan, ny",manhattan,indian,2123999007,not critical,40.764433527936,-73.991953395968,yes,sidewalk
82061,hound's tree wines,"335 bedford avenue, brooklyn, ny",brooklyn,,9177709055,not applicable,40.712422678523005,-73.962601236484,yes,roadway
82062,soul food,"88a kingston ave, brooklyn, ny",brooklyn,caribbean,7184937570,critical,40.676715343649995,-73.941516522976,yes,both
82281,foundry kitchen & bar,"270 west   43 street, manhattan, ny",manhattan,american,2122012700,critical,40.757475252254,-73.98830856107,yes,both
82493,sarita's mac & cheese,"197 1 avenue, manhattan, ny",manhattan,american,2123587917,critical,40.730101143043,-73.983474927753,yes,sidewalk
82745,pahal zan restaurant,"106-12 continental avenue, queens, ny",queens,jewish/kosher,7187937177,not critical,40.71978708036,-73.845013050022,no,sidewalk
82981,the juilliard school(rose cafe),"165 west   65 street, manhattan, ny",manhattan,american,2126714313,critical,40.773734654878,-73.983864820309,no,sidewalk
83227,ital fusion,"2085 nostrand avenue, brooklyn, ny",brooklyn,vegetarian,3473509816,critical,40.634731499933,-73.94784055176,yes,sidewalk
83443,scavello's on the island,"101 city island avenue, bronx, ny",bronx,italian,3476803865,critical,40.840696805332,-73.784059978484,yes,sidewalk
83652,tea cup cafe,"7623 woodside avenue, queens, ny",queens,coffee/tea,7184262222,not critical,40.743448187073,-73.888599306174,no,openstreets
83800,le baratin,"26 greenwich avenue, manhattan, ny",manhattan,french,2129331080,critical,40.735018207101,-74.000169592997,yes,sidewalk
83931,happy wok,"6619 beach channel dr, queens, ny",queens,chinese,7189451202,critical,40.592875534669,-73.795432425965,no,sidewalk
84135,fayrooz,"2808 steinway street, queens, ny",queens,middle eastern,7182047667,not critical,40.765233181571,-73.913908588301,yes,both
84138,joe coffee,"2960 broadway, manhattan, ny",manhattan,coffee/tea,2128541654,critical,40.80818766481,-73.963746517738,no,sidewalk
84263,kabab and gyro grill,"13107 liberty ave, queens, ny",queens,indian,7188430123,critical,40.690142394608,-73.814673409709,no,both
84466,oriental chinese restaurant,"3774 broadway, manhattan, ny",manhattan,chinese,2122816888,critical,40.833895703014,-73.944984344481,yes,sidewalk
84729,el nuevo taco veloz,"9010 roosevelt ave, queens, ny",queens,tex-mex,7187551505,not critical,40.748452658794,-73.875969898765,no,both
84881,sephora cafe 6,"530 east   74 street, manhattan, ny",manhattan,american,9149438209,not critical,40.76780255034,-73.951956191292,no,both
85125,rubi rosa restaurant & bar,"8407 northern boulevard, queens, ny",queens,latin american,7186077669,critical,40.755775172187,-73.883330407576,yes,sidewalk
85330,oceanview bites,"boardwalk at west 8th street, brooklyn, ny",brooklyn,american,7187411426,not critical,,,yes,both
85552,huckleberry bar,"588 grand street, brooklyn, ny",brooklyn,american,7182188555,critical,40.711209427329,-73.94830710822501,yes,both
85810,angelos deli restaurant,"5000 grand avenue, queens, ny",queens,mexican,7183864423,not critical,40.71745337502,-73.919118315406,yes,roadway
86074,publique espresso,"420 west  118 street, manhattan, ny",manhattan,american,6466435187,critical,40.807609639467,-73.95890994729,yes,roadway
86276,the pizza block,"5677 riverdale avenue, bronx, ny",bronx,jewish/kosher,7187087004,critical,40.906340774536,-73.904246716497,yes,both
86461,guadalupe bar and grill,"597 west  207 street, manhattan, ny",manhattan,mexican,2123041083,not critical,40.867243898022,-73.920913140154,yes,both
86531,the boiler room,"86 east    4 street, manhattan, ny",manhattan,american,2122547536,not critical,40.726113689106995,-73.989295427032,yes,both
86532,gramercy bagel,"246 3 avenue, manhattan, ny",manhattan,bagels/pretzels,2123880080,critical,40.737105913566,-73.98441138734199,yes,both
86533,mr. chen restaurant,"1269 ralph avenue, brooklyn, ny",brooklyn,chinese,7184511514,not critical,40.64545303825,-73.92001311563001,no,sidewalk
86737,sleep no more at the mckittrick hotel,"530 west   27 street, manhattan, ny",manhattan,american,2129041883,critical,40.750742893970006,-74.003641699618,yes,sidewalk
86939,mussels & more,"510 80 street, brooklyn, ny",brooklyn,seafood,7186803390,not critical,40.62558155113,-74.02385163799501,no,both
87151,didi world famous food,"2972 avenue u, brooklyn, ny",brooklyn,chinese,7183680180,not critical,40.600610033979,-73.94010340253101,no,both
87380,family pizza,"720 flatbush avenue, brooklyn, ny",brooklyn,pizza,7184620639,not critical,40.655791577516,-73.95991204077599,no,roadway
87623,rich village restaurant,"6009 7 avenue, brooklyn, ny",brooklyn,chinese,7182388628,critical,40.636691555780004,-74.011875568196,yes,sidewalk
87859,hong kong station,"157 west   47 street, manhattan, ny",manhattan,chinese,6464298277,critical,40.75867135363,-73.983341474695,yes,roadway
88071,ifc center,"323 6 avenue, manhattan, ny",manhattan,american,2129246789,critical,40.731159060021,-74.001353056947,no,roadway
88317,the muffin shop,"7324 13 avenue, brooklyn, ny",brooklyn,coffee/tea,9176827451,critical,40.621282778868,-74.006411897035,no,both
88480,mr.bun,"2048 86 street, brooklyn, ny",brooklyn,chinese,7186762751,critical,40.603911176063,-73.997126203723,no,roadway
88481,the union league club,"38 east   37 street, manhattan, ny",manhattan,american,2126853800,critical,40.749451357976,-73.981102509172,yes,both
88758,seba seba,"7928 37 avenue, queens, ny",queens,latin american,7184784691,not critical,40.749473898247,-73.88677017897899,no,sidewalk
88983,the club,"65 east   55 street, manhattan, ny",manhattan,american,3477743683,not critical,40.760711402062,-73.97264163673,yes,both
88985,east palace,"819 2 avenue, manhattan, ny",manhattan,chinese,2129497708,not critical,40.750937010357,-73.971400482957,yes,both
89190,okeefes,"62 court street, brooklyn, ny",brooklyn,american,7188558751,critical,40.692021068732,-73.991240963463,yes,sidewalk
89191,bb juice bar,"399 east  149 street, bronx, ny",bronx,"juice, smoothies, fruit salads",6469720408,not critical,40.816167825403,-73.918047720088,yes,roadway
89437,bogart house,"360 ten eyck st    aka 230 bogart st, brooklyn, ny",brooklyn,american,6467097854,not critical,40.711825874553,-73.935274168423,yes,sidewalk
89694,pho hoai restaurant,"1906 avenue u, brooklyn, ny",brooklyn,southeast asian,7186161233,critical,40.59925987105,-73.95237321624,no,both
89744,eugene o'neill theatre,"230 west   49 street, manhattan, ny",manhattan,american,2125825472,not critical,40.761048562752,-73.985149376286,yes,both
89965,the starliner,"1446 myrtle avenue, brooklyn, ny",brooklyn,american,3474056572,not critical,40.69894652159,-73.91687242656,yes,roadway
90125,molly's,"287 3 avenue, manhattan, ny",manhattan,irish,2128893361,not critical,40.738373862010995,-73.983465650986,yes,both
90177,chef aless,"2100 2 avenue, manhattan, ny",manhattan,french,9178865119,not critical,40.792066747093,-73.941371463188,no,sidewalk
90392,eli fitlife,"3563 91st st, queens, ny",queens,"juice, smoothies, fruit salads",7184149180,not critical,40.752273654266,-73.876233454801,yes,both
90626,taqueria santa fe,"214 stanhope street, brooklyn, ny",brooklyn,mexican,7184555012,not critical,40.700541111524004,-73.92057068926,no,both
90627,united kitchen,"766 liberty avenue, brooklyn, ny",brooklyn,chinese,7182775162,critical,40.676600451034005,-73.881562303626,yes,both
90838,2nd ave deli,"162 east   33 street, manhattan, ny",manhattan,jewish/kosher,2126899000,not critical,40.745438250058996,-73.979548203806,yes,sidewalk
91055,kismet caterers,"1995 westchester avenue, bronx, ny",bronx,american,7188285510,critical,40.833530202968,-73.858020298206,yes,sidewalk
91278,brooklyn perk,"605 flatbush avenue, brooklyn, ny",brooklyn,coffee/tea,3474582941,critical,40.65856125966,-73.960487043635,no,roadway
91527,la vera pizza,"2547 broadway, manhattan, ny",manhattan,pizza,2128666500,not critical,40.794235699824,-73.97210051538801,no,roadway
91531,la familia restaurant,"938 4 avenue, brooklyn, ny",brooklyn,latin american,7188327568,not critical,40.654719822342,-74.003996837927,yes,both
91533,the kingside,"120 west   57 street, manhattan, ny",manhattan,american,2127078000,critical,40.764681492440005,-73.978094671964,yes,sidewalk
91712,"red rooster harlem, ginny's supper club","310 lenox avenue, manhattan, ny",manhattan,american,2127929001,not critical,40.80815834801,-73.945186317561,yes,sidewalk
91873,bond 45 italian kitchen and bar,"221 west   46 street, manhattan, ny",manhattan,italian,2128694545,not critical,40.759017559548,-73.98609195389301,yes,both
92075,cibao restaurant,"10422b northern boulevard, queens, ny",queens,latin american,7182054583,critical,40.757689351352,-73.864340554865,yes,sidewalk
92241,xing shun da restaurant,"4418 kissena blvd, queens, ny",queens,chinese,7183211262,critical,40.753391155579,-73.82221359667301,no,roadway
92457,harlem joe,"1469 5 avenue, manhattan, ny",manhattan,,3478725750,not applicable,40.802298344378,-73.945252566097,no,roadway
92722,gregory's coffee,"327 park avenue south, manhattan, ny",manhattan,coffee/tea,2129798600,critical,40.741031097043,-73.985731245448,yes,both
92773,pop's coffee diner,"4429b kissena boulevard, queens, ny",queens,american,7184637719,not critical,40.753311361905,-73.822087482721,yes,openstreets
92997,zaytoons restaurant,"594 vanderbilt avenue, brooklyn, ny",brooklyn,middle eastern,7182303200,critical,40.678726873715,-73.968486035982,yes,roadway
